aX,aY,aZ,gX,gY,gZ
0.645,1.040,0.074,25.146,-104.492,21.729
0.665,0.992,-0.030,17.517,-94.421,7.385
0.678,0.930,-0.088,13.977,-91.248,-6.592
0.678,0.781,-0.033,13.245,-95.703,-21.301
0.652,0.551,-0.036,12.207,-95.703,-33.142
0.625,0.347,-0.120,9.888,-93.201,-35.095
0.634,0.247,-0.126,0.305,-95.947,-27.466
0.663,0.214,-0.073,-6.958,-101.929,-16.785
0.677,0.194,0.013,-6.592,-106.384,-8.728
0.696,0.227,0.078,-4.150,-107.788,-1.709
0.673,0.268,0.030,-3.357,-103.271,4.150
0.647,0.297,-0.068,-1.282,-99.670,6.775
0.616,0.311,-0.076,1.343,-103.577,6.897
0.572,0.293,-0.078,5.249,-109.009,4.578
0.562,0.230,-0.135,9.583,-111.877,1.892
0.580,0.172,-0.207,10.742,-116.699,2.441
0.607,0.166,-0.194,10.132,-127.563,6.897
0.641,0.169,-0.128,12.817,-140.503,12.634
0.675,0.204,-0.033,10.559,-150.391,20.874
0.689,0.266,0.087,6.714,-156.250,30.273
0.719,0.350,0.187,6.165,-156.555,39.673
0.707,0.491,0.239,8.850,-151.733,47.058
0.656,0.614,0.173,10.864,-143.372,47.668
0.599,0.636,0.036,14.404,-137.573,39.246
0.544,0.591,-0.025,12.451,-140.991,26.611
0.539,0.523,0.028,12.024,-152.893,15.015
0.610,0.457,0.119,17.334,-165.588,4.089
0.696,0.379,0.223,27.161,-175.720,-6.226
0.785,0.276,0.310,40.039,-181.213,-15.869
0.801,0.182,0.393,48.889,-182.983,-20.325
0.798,0.195,0.450,52.002,-180.664,-15.015
0.759,0.292,0.480,47.852,-176.575,-5.188
0.732,0.335,0.538,36.011,-173.706,1.648
0.700,0.413,0.620,16.052,-172.791,8.728
0.694,0.489,0.683,-4.089,-168.457,14.771
0.701,0.577,0.687,-11.414,-162.231,16.296
0.799,0.665,0.682,-6.653,-159.363,12.207
0.853,0.742,0.770,7.385,-162.964,1.343
0.930,0.770,0.886,29.968,-165.710,-14.526
0.959,0.617,0.929,44.556,-157.776,-36.072
0.951,0.332,0.834,52.490,-142.517,-53.650
0.918,0.209,0.699,47.241,-129.150,-51.208
0.903,0.219,0.672,39.429,-126.099,-38.696
0.888,0.225,0.767,29.663,-129.761,-29.114
0.854,0.223,0.849,19.409,-129.150,-21.912
0.836,0.275,0.861,7.874,-122.070,-12.573
0.847,0.422,0.847,-2.441,-114.929,-4.211
0.875,0.633,0.850,-5.798,-112.549,-1.404
0.899,0.764,0.914,-2.014,-113.953,-9.521
0.923,0.761,0.949,15.686,-113.281,-29.846
0.924,0.663,0.951,37.537,-109.680,-54.260
0.922,0.517,0.867,56.152,-102.356,-74.707
0.908,0.354,0.761,69.580,-96.436,-90.332
0.892,0.212,0.736,77.271,-95.703,-98.755
0.884,-0.028,0.772,77.759,-98.938,-103.638
0.879,-0.341,0.821,53.650,-98.511,-98.572
0.866,-0.463,0.841,22.522,-94.666,-72.327
0.892,-0.306,0.939,-9.155,-91.431,-28.687
0.919,0.084,0.986,-41.321,-82.764,11.658
0.924,0.516,0.973,-46.021,-72.693,33.081
0.962,0.866,1.024,-30.273,-71.167,28.809
0.999,1.012,1.169,-1.282,-73.853,2.502
0.989,0.958,1.289,32.227,-69.946,-36.438
0.982,0.743,1.244,59.143,-54.565,-75.928
0.933,0.453,1.078,76.172,-36.621,-104.980
0.906,0.250,0.895,82.825,-24.719,-117.920
0.875,0.048,0.771,85.876,-22.949,-121.216
0.868,-0.236,0.766,79.468,-28.503,-119.812
0.868,-0.463,0.827,58.838,-33.752,-104.248
0.876,-0.418,0.898,31.128,-34.485,-69.092
0.870,-0.196,0.858,5.432,-28.320,-28.625
0.860,0.119,0.829,-10.498,-24.475,0.061
0.860,0.387,0.834,-24.292,-23.193,13.672
0.845,0.567,0.853,-30.518,-21.301,11.780
0.843,0.683,0.885,-27.161,-18.188,0.366
0.820,0.657,0.898,-14.526,-13.428,-19.714

3.460,-0.108,1.069,18.677,-56.030,49.072
3.958,0.414,2.157,0.061,-60.181,90.576
4.000,1.300,3.272,4.211,-25.452,121.399
4.000,2.065,4.000,27.344,2.808,116.394
4.000,1.809,4.000,26.123,21.362,47.180
3.966,0.412,4.000,2.563,85.388,-63.354
3.333,-0.897,4.000,-3.174,231.873,-124.939
2.599,-1.522,4.000,33.142,376.404,-118.103
1.634,-2.503,4.000,83.984,455.811,-121.338
0.385,-3.589,4.000,110.718,519.531,-136.169
-1.040,-4.000,4.000,149.475,608.215,-103.821
-2.276,-4.000,4.000,160.767,700.317,2.319
-3.262,-2.657,3.737,139.465,750.793,202.148
-3.990,-0.018,2.473,112.732,774.414,391.357
-4.000,2.161,1.466,80.627,820.984,471.741
-4.000,3.682,-0.230,61.646,885.132,429.260
-4.000,3.982,-2.144,69.275,832.153,250.916
-3.998,2.209,-2.675,62.378,642.334,-12.451
-3.704,-0.648,-1.855,80.139,408.081,-220.093
-3.366,-2.788,-1.530,80.322,276.794,-256.287
-3.063,-3.183,-1.448,55.115,196.472,-106.018
-2.747,-1.758,-0.809,19.775,96.375,114.441
-2.506,-0.398,-0.052,8.362,12.390,235.596
-2.252,0.086,0.209,27.100,-14.771,238.953
-1.997,0.214,0.230,44.983,-20.203,214.050
-1.774,0.524,0.166,51.514,-30.701,208.801
-1.553,0.929,-0.039,60.486,-38.269,208.984
-1.304,1.266,-0.218,61.096,-49.561,195.435
-1.063,1.492,-0.296,59.814,-67.139,169.189
-0.822,1.622,-0.287,51.147,-85.144,135.742
-0.604,1.594,-0.325,43.152,-97.595,96.863
-0.378,1.400,-0.377,35.645,-108.154,55.237
-0.151,1.112,-0.288,18.738,-123.169,21.790
0.068,0.915,-0.097,-0.183,-135.925,2.686
0.271,0.808,0.062,-16.724,-138.916,-5.005
0.462,0.735,0.245,-30.701,-135.010,-12.085
0.609,0.669,0.391,-35.950,-127.136,-20.630
0.704,0.506,0.364,-30.884,-109.802,-32.776
0.797,0.283,0.256,-22.827,-92.529,-41.443
0.878,0.133,0.288,-19.348,-86.548,-38.330
0.944,0.135,0.280,-18.311,-80.444,-24.597
0.996,0.183,0.155,-19.287,-68.848,-8.972
1.016,0.312,0.040,-18.677,-62.927,3.906
1.016,0.483,0.010,-20.020,-63.354,14.893
1.023,0.586,-0.007,-15.930,-64.697,17.883
1.023,0.643,-0.047,-11.230,-64.270,15.930
1.003,0.719,-0.012,-7.080,-66.833,13.062
0.974,0.796,0.108,-5.920,-70.435,8.423
0.927,0.829,0.206,-5.493,-69.275,0.488
0.871,0.770,0.193,-6.042,-62.134,-10.559
